Stars,Messier objects,Solar system objects
Sirius,M1,Mercury
Alpha CMa,M2,Venus
Canopus,M3,Mars
Alpha Centauri A,M4,Jupiter
Alpha Centauri B,M5,Saturn
Arcturus,M6,Uranus
Vega,M7,Neptune
Capella,M8,Pluto
Rigel,M9,Chicago
Procyon,M10,Bienor
Achernar,M11,Themis
Hadar,M12,Larissa
Betelgeuse,M13,Neptune VII
Altair,M14,Ursula
Aldebaran,M15,Amphitrite
Antares,M16,Daphne
Spica,M17,Aurora
Pollux,M18,Hermione
Fomalhaut,M19,Bertha
Mimosa,M20,Hebe
Deneb,M21,Metis
Regulus,M22,Elektra
Adhara,M23,Loreley
Castor,M24,Janus
Gacrux,M25,Saturn X
Shaula,M26,Teharonhiawako
Bellatrix,M27,Nemesis
Elnath,M28,Aegle
Miaplacidus,M29,Diotima
Alnilam,M30,Makemake I
Alnitak,M31,Galatea
Alnair,M32,Neptune VI
Alioth,M33,Aletheia
Regor,M34,Phorcys
Dubhe,M35,Ceto I
Mirfak,M36,Palma
Wezen,M37,Alauda
Kaus Australis,M38,Winchester
Alkaid,M39,Aspasia
Avior,M40,Hilda
Kappa Scorpii,M41,Pretoria
Menkalinan,M42,Himalia
Atria,M43,Jupiter VI
Alhena,M44,Namaka
Peacock,M45,Haumea II
Delta Vel,M46,Weywot
Mirzam,M47,Quaoar I
Alphard,M48,Germania
Algieba,M49,Freia
Hamal,M50,Rhadamanthus
Polaris,M51,Kalliope
Nunki,M52,Stereoskopia
Beta Ceti,M53,Amalthea
Saiph,M54,Jupiter V
Alpheratz,M55,Agamemnon
Mizar,M56,Elpis
Menkent,M57,Siegena
Mirach,M58,Sycorax
Rasalhague,M59,Uranus XVII
Kochab,M60,Puck
Beta Gru,M61,Uranus XV
Algol,M62,Prokne
Denebola,M63,Eunike
Almach,M64,Gyptis
Gamma Centauri,M65,Despina
Sadr,M66,Neptune V
Suhail,M67,Hypatia
Mintaka,M68,Merapi
Alphecca,M69,Lachesis
Alpha Cassiopeiae,M70,Io
Eltanin,M71,Bononia
Naos,M72,Minerva
Aspidiske,M73,Alexandra
Caph,M74,Laetitia
Eps Scorpii,M75,Berbericia
Eps Centauri,M76,Juewa
Alpha Lupi,M77,Parthenope
Eta Centauri,M78,Manwë
Dschubba,M79,Pales
Merak,M80,Adeona
Ankaa,M81,Eleonora
Enif,M82,Comacina
Kappa Sco,M83,Arethusa
Scheat,M84,Flora
Sabik,M85,Pulcova
Phecda,M86,Hispania
Alderamin,M87,Lomia
Aludra,M88,Dione
Epsilon Cygni,M89,Julia
Gamma Cassiopeiae,M90,Sibylla
Markab,M91,Philomela
Beta Scorpii,M92,Irene
Kappa Velorum,M93,Meliboea
Alpha Ceti,M94,Aglaja
Zeta Centaurus,M95,Vibilia
Zeta Oph,M96,Isolda
Delta Leonis,M97,Adorea
Alpha Leporis,M98,Patroclus
Gamma Corvi,M99,Dido
Iota Ceti,M100,
Zeta Ceti,M101,
